specification,beta_treat,se_cluster_country,p_value,ci95_low,ci95_high,nobs
TWFE (FE only),0.1777526276797795,0.07170281637724833,0.014415933887724676,0.037215107580372775,0.31829014777918624,9082
TWFE + controls,0.20004709910396226,0.0736324930316151,0.007583018097495104,0.055727412761996664,0.34436678544592786,4610
